tree,max(.fitted),min(.fitted),total_amplitude,five_percent,ninety_five,begin,cessation,date_onset,date_cessation,growth_duration,doy_begin,doy_cessation
APSA,2884.6329333016597,2550.5467962908806,334.0861370107791,16.704306850538956,317.38183016024016,2567.2511031414197,2867.9286264511206,2016-05-21T08:30:00Z,2016-06-26T20:00:00Z,36.4791666666667,142,178
APSB,4210.042314236366,2462.5824767711874,1747.4598374651787,87.37299187325894,1660.0868455919197,2549.9554686444462,4122.669322363107,2016-05-03T12:00:00Z,2016-07-15T15:00:00Z,73.125,124,197
FSYA,3092.9268780560883,2536.5443171063207,556.3825609497676,27.81912804748838,528.5634329022791,2564.363445153809,3065.1077500086,2016-05-05T00:00:00Z,2016-06-12T09:30:00Z,38.3958333333333,126,164
FSYB,2895.359745287108,2246.62264707375,648.737098213358,32.4368549106679,616.3002433026901,2279.059501984418,2862.92289037644,2016-04-26T13:30:00Z,2016-06-09T22:30:00Z,44.375,117,161
FSYC,3282.189264194551,2477.9770962847424,804.2121679098086,40.21060839549043,764.0015595143182,2518.187704680233,3241.9786557990606,2016-04-29T09:00:00Z,2016-06-29T19:00:00Z,61.4166666666667,120,181
QROA,4299.8862010744915,2369.981114492184,1929.9050865823074,96.49525432911537,1833.409832253192,2466.4763688212997,4203.390946745376,2016-04-11T16:30:00Z,2016-08-02T06:30:00Z,112.583333333333,102,215
QROB,6281.119349352679,2149.7383076760043,4131.381041676675,206.56905208383375,3924.8119895928407,2356.307359759838,6074.5502972688455,2016-04-26T06:30:00Z,2016-08-20T05:30:00Z,115.958333333333,117,233
QROC,4259.09818072685,3133.6798916821103,1125.4182890447396,56.27091445223698,1069.1473745925025,3189.9508061343477,4202.827266274613,2016-04-28T10:00:00Z,2016-07-13T11:30:00Z,76.0625,119,195
